Time,Height,Wicking Rate
0.0,0.0,0.08087314516459276
15.262214,3.6032608695652173,0.31735486575425387
30.189813,7.391304347826086,0.11942184533181123
45.251737,7.391304347826086,-0.0319135999072727
60.246082,7.391304347826086,0.008481993250059515
75.240486,7.391304347826086,-0.002014314268975982
90.266156,7.391304347826086,-0.0004340222318801038
105.228069,7.391304347826086,0.003738172757140082
120.222403,7.483695652173912,0.003951314540697523
135.216893,7.483695652173912,-0.0010581163486823738
150.178524,7.483695652173912,0.0002851722615149911
165.172906,7.483695652173912,-8.150496518569704e-05
180.167991,7.483695652173912,4.084187174140961e-05
195.229003,7.483695652173912,-8.18633077919443e-05
