Time,Height
0.0,0.0
17.483783,0.09207161125319693
30.045769,0.4603580562659847
45.273642,0.4603580562659847
60.234893,0.4603580562659847
75.129637,4.419437340153452
90.3243,4.603580562659847
105.185519,4.603580562659847
120.080439,5.248081841432225
135.275044,5.70843989769821
150.169582,6.168797953964194
165.064141,6.537084398976982
180.258784,6.90537084398977
195.153304,6.997442455242967
210.048197,7.181585677749361
225.242752,7.457800511508951
240.137312,7.641943734015346
255.032009,7.918158567774936
270.226649,8.10230179028133
285.121573,8.10230179028133
300.015995,8.378516624040921
315.244058,9.759590792838875
330.238356,9.759590792838875
345.133073,9.759590792838875
360.327686,9.759590792838875
375.222648,10.312020460358056
390.184915,10.312020460358056
405.078316,10.312020460358056
420.30618,10.312020460358056
435.200982,10.312020460358056
450.095728,10.956521739130435
465.090365,10.956521739130435
480.01817,10.956521739130435
495.246132,11.508951406649617
510.240811,11.508951406649617
525.135666,11.508951406649617
540.03013,11.508951406649617
555.257952,11.508951406649617
570.152738,11.508951406649617
585.04738,11.508951406649617
600.275135,11.508951406649617
615.270088,11.508951406649617
630.164562,11.508951406649617
645.059363,11.508951406649617
660.287246,12.153452685421994
675.181762,12.153452685421994
